[evolve dt=500] step 500 t=0.250 Myr  step 72 ms  elapsed 36 s
[evolve dt=500] step 1000 t=0.500 Myr  step 66 ms  elapsed 69 s
[evolve dt=500] step 1500 t=0.750 Myr  step 64 ms  elapsed 102 s
[evolve dt=500] step 2000 t=1.000 Myr  step 61 ms  elapsed 132 s
[evolve dt=500] step 2500 t=1.250 Myr  step 59 ms  elapsed 161 s
[evolve dt=500] step 3000 t=1.500 Myr  step 57 ms  elapsed 190 s
[evolve dt=500] step 3500 t=1.750 Myr  step 57 ms  elapsed 218 s
[evolve dt=500] step 4000 t=2.000 Myr  step 56 ms  elapsed 246 s
[evolve dt=500] step 4500 t=2.250 Myr  step 55 ms  elapsed 274 s
[evolve dt=500] step 5000 t=2.500 Myr  step 54 ms  elapsed 301 s
[evolve dt=500] step 5500 t=2.750 Myr  step 54 ms  elapsed 328 s
[evolve dt=500] step 6000 t=3.000 Myr  step 54 ms  elapsed 355 s
[evolve dt=500] step 6500 t=3.250 Myr  step 54 ms  elapsed 382 s
[evolve dt=500] step 7000 t=3.500 Myr  step 54 ms  elapsed 409 s
[evolve dt=500] step 7500 t=3.750 Myr  step 54 ms  elapsed 436 s
[evolve dt=500] step 8000 t=4.000 Myr  step 51 ms  elapsed 461 s
[evolve dt=500] step 8500 t=4.250 Myr  step 51 ms  elapsed 487 s
[evolve dt=500] step 9000 t=4.500 Myr  step 51 ms  elapsed 512 s
[evolve dt=500] step 9500 t=4.750 Myr  step 51 ms  elapsed 537 s
[evolve dt=500] step 10000 t=5.000 Myr  step 51 ms  elapsed 562 s
[evolve dt=500] step 10500 t=5.250 Myr  step 50 ms  elapsed 588 s
[evolve dt=500] step 11000 t=5.500 Myr  step 50 ms  elapsed 613 s
[evolve dt=500] step 11500 t=5.750 Myr  step 51 ms  elapsed 638 s
[evolve dt=500] step 12000 t=6.000 Myr  step 51 ms  elapsed 664 s
[evolve dt=500] step 12500 t=6.250 Myr  step 52 ms  elapsed 689 s
[evolve dt=500] step 13000 t=6.500 Myr  step 52 ms  elapsed 715 s
[evolve dt=500] step 13500 t=6.750 Myr  step 51 ms  elapsed 741 s
[evolve dt=500] step 14000 t=7.000 Myr  step 51 ms  elapsed 766 s
[evolve dt=500] step 14500 t=7.250 Myr  step 51 ms  elapsed 792 s
[evolve dt=500] step 15000 t=7.500 Myr  step 51 ms  elapsed 817 s
[evolve dt=500] step 15500 t=7.750 Myr  step 51 ms  elapsed 843 s
[evolve dt=500] step 16000 t=8.000 Myr  step 51 ms  elapsed 868 s
[evolve dt=500] step 16500 t=8.250 Myr  step 51 ms  elapsed 894 s
[evolve dt=500] step 17000 t=8.500 Myr  step 51 ms  elapsed 919 s
[evolve dt=500] step 17500 t=8.750 Myr  step 51 ms  elapsed 945 s
[evolve dt=500] step 18000 t=9.000 Myr  step 51 ms  elapsed 970 s
[evolve dt=500] step 18500 t=9.250 Myr  step 51 ms  elapsed 996 s
[evolve dt=500] step 19000 t=9.500 Myr  step 51 ms  elapsed 1021 s
[evolve dt=500] step 19500 t=9.750 Myr  step 51 ms  elapsed 1047 s
[evolve dt=500] step 20000 t=10.000 Myr  step 51 ms  elapsed 1072 s
written F:\LEM\bench\results\evolve\dt500
T006_DONE 
