plan: 99 runs (24 cells, rounds 0..3), affinity 4, grid 500x500
[07:51:02] r1_K1e-06_elev_da_LMB: steady 9518.5 ms/step, first 9231.2 ms, peak 562 MB, wall 476.5 s, flooded 0
[07:52:47] r1_K1e-06_elev_da_PFFR: steady 1995.2 ms/step, first 2029.2 ms, peak 444 MB, wall 101.5 s, flooded 91818
[07:52:54] r1_K1e-06_elev_da_FS: steady 71.0 ms/step, first 73.5 ms, peak 108 MB, wall 3.7 s, flooded 91639
[07:53:00] r1_K1e-05_elev_FS_PIECEWISE: steady 70.3 ms/step, first 73.3 ms, peak 108 MB, wall 3.7 s, flooded 77647
[08:01:19] r2_K1e-05_elev_DFR: steady 9821.5 ms/step, first 10587.1 ms, peak 508 MB, wall 495.0 s, flooded 80129
[08:09:36] r2_K1e-05_elev_LMB: steady 9882.3 ms/step, first 9243.0 ms, peak 567 MB, wall 493.9 s, flooded 0
[08:11:20] r2_K1e-05_elev_PFFR: steady 1988.4 ms/step, first 2023.9 ms, peak 444 MB, wall 101.2 s, flooded 81074
[08:11:27] r2_K1e-05_elev_FS: steady 70.5 ms/step, first 74.2 ms, peak 108 MB, wall 3.7 s, flooded 77647
[08:19:51] r2_K1e-05_elev_da_DFR: steady 9956.0 ms/step, first 10578.6 ms, peak 508 MB, wall 501.4 s, flooded 80129
[08:28:14] r2_K1e-05_elev_da_LMB: steady 9999.8 ms/step, first 9391.1 ms, peak 566 MB, wall 499.9 s, flooded 0
[08:29:59] r2_K1e-05_elev_da_PFFR: steady 1991.6 ms/step, first 2027.4 ms, peak 445 MB, wall 101.4 s, flooded 81074
[08:30:06] r2_K1e-05_elev_da_FS: steady 70.4 ms/step, first 74.0 ms, peak 108 MB, wall 3.7 s, flooded 77647
[08:37:28] r2_K1e-04_elev_DFR: steady 8586.3 ms/step, first 10572.2 ms, peak 508 MB, wall 439.5 s, flooded 54609
[08:44:57] r2_K1e-04_elev_LMB: steady 8768.7 ms/step, first 9400.9 ms, peak 567 MB, wall 445.8 s, flooded 0
[08:46:42] r2_K1e-04_elev_PFFR: steady 1988.6 ms/step, first 2023.0 ms, peak 445 MB, wall 101.2 s, flooded 55812
[08:46:48] r2_K1e-04_elev_FS: steady 58.7 ms/step, first 73.2 ms, peak 108 MB, wall 3.2 s, flooded 8794
[08:54:10] r2_K1e-04_elev_da_DFR: steady 8571.1 ms/step, first 10440.6 ms, peak 507 MB, wall 438.6 s, flooded 54609
[09:01:34] r2_K1e-04_elev_da_LMB: steady 8670.9 ms/step, first 9279.3 ms, peak 567 MB, wall 440.8 s, flooded 0
[09:03:18] r2_K1e-04_elev_da_PFFR: steady 1985.8 ms/step, first 2021.3 ms, peak 446 MB, wall 101.0 s, flooded 55812
[09:03:24] r2_K1e-04_elev_da_FS: steady 58.8 ms/step, first 73.4 ms, peak 108 MB, wall 3.2 s, flooded 8794
[09:11:58] r2_K1e-06_elev_DFR: steady 10153.5 ms/step, first 10427.4 ms, peak 508 MB, wall 510.7 s, flooded 91730
[09:20:00] r2_K1e-06_elev_LMB: steady 9556.2 ms/step, first 9283.5 ms, peak 562 MB, wall 478.6 s, flooded 0
[09:21:44] r2_K1e-06_elev_PFFR: steady 1997.8 ms/step, first 2028.5 ms, peak 444 MB, wall 101.7 s, flooded 91818
[09:21:51] r2_K1e-06_elev_FS: steady 70.8 ms/step, first 73.2 ms, peak 108 MB, wall 3.7 s, flooded 91639
[09:30:30] r2_K1e-06_elev_da_DFR: steady 10259.2 ms/step, first 10647.3 ms, peak 509 MB, wall 516.1 s, flooded 91730
[09:38:32] r2_K1e-06_elev_da_LMB: steady 9555.4 ms/step, first 9275.7 ms, peak 561 MB, wall 478.6 s, flooded 0
[09:40:16] r2_K1e-06_elev_da_PFFR: steady 1981.6 ms/step, first 2017.1 ms, peak 445 MB, wall 100.9 s, flooded 91818
[09:40:23] r2_K1e-06_elev_da_FS: steady 71.2 ms/step, first 73.4 ms, peak 108 MB, wall 3.7 s, flooded 91639
[09:40:30] r2_K1e-05_elev_FS_PIECEWISE: steady 70.3 ms/step, first 73.2 ms, peak 108 MB, wall 3.7 s, flooded 77647
[09:48:48] r3_K1e-05_elev_DFR: steady 9831.0 ms/step, first 10521.5 ms, peak 508 MB, wall 495.6 s, flooded 80129
